"","initial_value"
"ARHGDIB",0.78
"ARHGDIG",0.43
"RHOH",0.47
"ARL1",0.78
"PHOX2A",0.25
"ARL2",0.61
"ARL3",0.64
"ARNT",0.82
"ARNTL",0.49
"ARR3",0.34
"ARRB1",0.72
"ARRB2",0.55
"ARSA",0.61
"ARSB",0.44
"STS",0.62
"ARSD",0.67
"ARSE",0.4
"ARSF",0.34
"ART1",0.54
"ART3",0.37
"ART4",0.51
"ARVCF",0.52
"ASAH1",0.76
"ASCL1",0.53
"ASCL2",0.59
"ASGR1",0.46
"ASGR2",0.36
"ASIP",0.39
"ASL",0.66
"ASMT",0.47
"ASNA1",0.63
"ASNS",0.8
"ASPA",0.49
"ASPH",0.89
"ASS1",0.79
"ASTN1",0.28
"SERPINC1",0.47
"ZFHX3",0.71
"ATF1",0.64
"ATF3",0.84
"ATF4",0.8
"ATF4P1",0.21
"ATIC",0.89
"ATM",0.74
"RERE",0.65
"ATOH1",0.32
"ATOX1",0.6
"ATP1A1",0.81
"ATP1A2",0.64
"ATP1A3",0.29
"ATP12A",0.5
"ATP1A4",0.4
"ATP1B1",0.79
"ATP1B2",0.61
"ATP1B3",0.8
"ATP1B3P1",0.15
"FXYD2",0.49
"ATP2A1",0.5
"ATP2A2",0.78
"ATP2A3",0.81
"ATP2B1",0.77
"ATP2B2",0.51
"ATP2B3",0.68
"ATP2B4",0.78
"ATP4A",0.41
"ATP4B",0.32
"ATP5A1",0.71
"ALDH7A1",0.82
"ATP5B",0.79
"ATP5C1",0.85
"ATP5D",0.64
"ATP5E",0.72
"ATP5F1",0.69
"ATP5G1",0.79
"ATP5G2",0.66
"ATP5G3",0.78
"ATP5G2P1",0.24
"ATP5I",0.7
"ATP5J",0.84
"ATP6V1A",0.63
"ATP6V1B1",0.52
"ATP6V1B2",0.71
"ATP6V0C",0.66
"ATP6V1C1",0.82
"ATP6V1E1",0.63
"ATP6V0B",0.82
"ATP6V1G2",0.23
"ATP6V0A1",0.71
"ATP6AP1",0.68
"ATP7A",0.7
"ATP5O",0.85
"ATP7B",0.69
"ATR",0.77
"ATRX",0.78
"KIF1A",0.59
"AUH",0.65
"AUP1",0.56
"AVP",0.26
"AVPR1A",0.47
"AVPR1B",0.43
"AVPR2",0.33
"AXL",0.83
"AZGP1",0.52
"AZU1",0.35
"B2M",0.79
"BAAT",0.25
"BACH1",0.71
"BAD",0.7
"BAG1",0.87
"BAGE",0.46
"ADGRB1",0.31
"ADGRB2",0.48
"ADGRB3",0.33
"BAK1",0.66
"NKX3-2",0.32
"BARD1",0.63
"BAX",0.59
"BBS1",0.64
"BBS2",0.81
"BBS4",0.62
"BCAT1",0.83
"BCAT2",0.71
"BCHE",0.47
"BCKDHA",0.64
"BCKDHB",0.74
"CCND1",0.81
"BCL2",0.68
"BCL2A1",0.67
"BCL2L1",0.79
"BCL2L2",0.59
"BAK1P1",0.22
"BAK1P2",0.1
"BCL3",0.66
"BCL6",0.86
"BCL7A",0.72
"NBEAP1",0.16
"BCL9",0.56
"TNFRSF17",0.42
"HCN2",0.46
"OPN1SW",0.35
"BCR",0.78
"BCS1L",0.67
"BCYRN1",0.17
"BDH1",0.46
"BDKRB1",0.6
"BDKRB2",0.69
"BDNF",0.7
"CFB",0.45
"BFSP1",0.4
"BGLAP",0.31
"BGN",0.71
"CEACAM1",0.74
"BHMT",0.59
"BICD1",0.76
"BID",0.62
"BIK",0.52
"PRDM1",0.63
"BLK",0.3
"BLM",0.89
"BLMH",0.64
"CXCR5",0.5
"BLVRA",0.81
"BLVRB",0.71
"BNC1",0.49
"BMI1",0.73
"BMP1",0.7
"BMP2",0.71
"BMP3",0.37
"BMP4",0.83
"BMP5",0.49
"BMP6",0.64
"BMP7",0.66
"BMP8B",0.44
"BMPR1A",0.71
"BMPR1B",0.6
"BMPR2",0.85
"BMX",0.43
"POLR3D",0.63
"BNIP1",0.68
"BNIP2",0.75
"BNIP3",0.73
"BNIP3L",0.77
"BOK",0.68
"DST",0.86
"FOXL2",0.41
"BPGM",0.68
"BPHL",0.58
"BPI",0.34
"BRCA1",0.86
"BRAF",0.74
"BRCA2",0.71
"BRDT",0.27
"ZFP36L1",0.63
"ZFP36L2",0.83
"BRS3",0.3
"BSG",0.66
"BST1",0.82
"BST2",0.75
"BTC",0.51
"BTD",0.75
"KLF9",0.73
"KLF5",0.79
"BTF3",0.79
"BTF3P11",0.32
"BTG1",0.74
"BTK",0.27
"BTN1A1",0.39
"BUB1",0.89
"BUB1B",0.88
"BYSL",0.84
"TSPO",0.69
"C1QBP",0.68
"SERPING1",0.8
"ERC2-IT1",0.28
"C1QA",0.45
"C1QB",0.5
"C1QC",0.34
"C1R",0.81
"C1S",0.84
"C2",0.57
"C3",0.65
"C3AR1",0.61
"C4A",0.59
"C4B",0.47
"C4BPA",0.37
"C4BPAP2",0.11
"C4BPB",0.46
"CAPN5",0.78
"C5",0.56
"C5AR1",0.49
"C6",0.48
"C7",0.8
"C8A",0.42
"C8B",0.42
"C8G",0.49
"OSGIN2",0.55
"C9",0.29
"VPS51",0.64
"MRPL49",0.7
"ZNHIT2",0.56
"MPPED2",0.69
"MYRF",0.6
"TMEM258",0.78
"DAGLA",0.32
"GAS8-AS1",0.37
"FMNL1",0.46
"LDLRAD4",0.76
"PTTG1IP",0.82
"C21orf2",0.6
"TMEM50B",0.8
"MPPED1",0.66
"CA1",0.5
"CA2",0.67
"CA3",0.59
"CA4",0.6
"CA5A",0.28
"CA6",0.46
"CA7",0.32
"CA8",0.47
"CA9",0.68
"CA11",0.45
"CA12",0.77
"CACNA1A",0.48
"CACNA1B",0.46
"CACNA1C",0.63
"CACNA1D",0.67
"CACNA1E",0.59
"CACNA1F",0.4
"CACNA1S",0.35
"DDR1",0.82
"CACNA2D1",0.57
"CACNB1",0.45
"CACNB2",0.5
"CACNB3",0.51
"CACNB4",0.4
"CACNG1",0.44
"SLC25A20",0.66
"CAD",0.71
"CALB1",0.71
"CALB2",0.6
"S100G",0.39
"CALCA",0.47
"CALCB",0.33
"CALCR",0.47
"CALD1",0.88
"CALM1",0.59
"CALM2",0.67
"CALM3",0.69
"CALML3",0.65
"CALR",0.64
"CALU",0.78
"CAMK4",0.66
"CAMK2A",0.54
"CAMK2B",0.49
"CAMK2D",0.93
"CAMK2G",0.61
"CAMLG",0.77
"CAMP",0.36
"CANX",0.83
"CAPG",0.77
"CAPN1",0.75
"CAPN2",0.68
"CAPN3",0.81
"CAPNS1",0.85
"CAPN6",0.42
"CAPS",0.7
"CAPZA1",0.83
"CAPZA2",0.65
"CAST",0.81
"CAPZB",0.7
"CARS",0.72
"CASP1",0.7
"CASP2",0.79
"CASP3",0.64
"CASP4",0.64
"CASP5",0.27
"CASP6",0.53
"CASP7",0.69
"CASP8",0.71
"CASP9",0.58
"CASP10",0.58
"CASQ1",0.41
"CASQ2",0.51
"CASR",0.6
"CAT",0.79
"CATR1",0.31
"CAV1",0.84
"CAV2",0.83
"CAV3",0.41
"RUNX2",0.67
"RUNX1",0.7
"RUNX1T1",0.73
"CBFA2T3",0.45
"RUNX3",0.73
"CBFB",0.82
"SERPINA6",0.58
"CBL",0.77
"CBLB",0.79
"CBLN1",0.66
"SERPINH1",0.87
"CBR1",0.52
"CBR3",0.57
"CBS",0.81
"CCIN",0.32
"CCBL1",0.44
"CCK",0.4
"CCKAR",0.42
"CCKBR",0.46
"KRIT1",0.7
"CCNA2",0.93
"CCNB1",0.9
"CCNC",0.57
"CCND2",0.78
"CCND3",0.63
"CCND3P1",0.12
"CCNE1",0.78
"CCNF",0.89
"CCNG1",0.66
"CCNG2",0.71
"CCNH",0.72
"CCNT1",0.38
"CCNT2",0.65
"CCT6A",0.86
"CD1A",0.52
"CD1B",0.26
"CD1C",0.41
"CD1D",0.48
"CD1E",0.53
"CD2",0.45
"CD3D",0.38
"CD3E",0.66
"CD3G",0.53
"CD247",0.45
"CD4",0.45
