"","initial_value"
"ZNF200",0.7
"ZNF202",0.59
"ZNF204P",0.57
"ZNF205",0.32
"ZNF207",0.81
"ZNF208",0.26
"ZNF213",0.64
"ZNF214",0.6
"ZNF215",0.44
"ZFAND5",0.82
"ZNF217",0.55
"ZNF223",0.27
"ZNF224",0.51
"ZNF225",0.28
"ZNF226",0.59
"ZNF227",0.55
"ZNF112",0.44
"ZNF229",0.62
"ZNF230",0.44
"ZNF232",0.59
"ZNF236",0.64
"SLC30A1",0.76
"SLC30A2",0.47
"SLC30A3",0.37
"SLC30A4",0.47
"ZP2",0.32
"ZP3",0.5
"MAP3K12",0.61
"ZXDA",0.27
"ZYX",0.7
"LUZP1",0.79
"PRDM2",0.61
"DNALI1",0.78
"PTP4A1",0.7
"LRP8",0.81
"LAPTM5",0.73
"BSND",0.32
"CSDE1",0.85
"EVI5",0.5
"DAP3",0.68
"NPHS2",0.25
"BTG2",0.71
"PXDN",0.73
"ALMS1",0.6
"MOGS",0.7
"RNF103",0.78
"TUBA1A",0.79
"PAX8",0.68
"IL1R2",0.53
"MALL",0.88
"CXCR4",0.67
"FZD5",0.65
"SCG2",0.5
"BRPF1",0.6
"IFRD2",0.82
"MAPKAPK3",0.71
"SEMA3B",0.56
"SLMAP",0.73
"MANF",0.8
"USP7",0.82
"RAB7A",0.77
"KCNAB1",0.67
"SLBP",0.88
"ST8SIA4",0.69
"REEP5",0.69
"DEK",0.88
"ALDH5A1",0.33
"PRRC2A",0.43
"BAG6",0.73
"GPANK1",0.68
"DDX39B",0.84
"ABHD16A",0.67
"SLC39A7",0.48
"HSD17B8",0.62
"OR2H2",0.3
"NELFE",0.69
"LST1",0.65
"PLA2G7",0.45
"TFEB",0.62
"RNF217-AS1",0.2
"NTT",0.19
"EPM2A",0.54
"AIMP2",0.81
"MAFK",0.73
"FZD3",0.49
"MTERF1",0.48
"SHFM1",0.73
"TFPI2",0.69
"ST7",0.7
"ARHGEF5",0.79
"ZNF212",0.48
"TUSC3",0.75
"UBXN8",0.69
"KAT6A",0.86
"PSCA",0.51
"GLRA3",0.44
"NR4A3",0.51
"BRD3",0.64
"NUP214",0.83
"LHX3",0.39
"STAM",0.63
"MLLT10",0.75
"CUBN",0.27
"CCDC6",0.86
"NCOA4",0.57
"SLC25A16",0.61
"SHOC2",0.65
"ADAM12",0.66
"RASSF7",0.58
"CSRP3",0.54
"PDHX",0.64
"FOSL1",0.69
"CUL5",0.83
"PTP4A2",0.75
"FGF23",0.29
"MFAP5",0.79
"USP5",0.59
"MLF2",0.72
"SSPN",0.68
"KMT2D",0.82
"AAAS",0.52
"FXR1",0.76
"YEATS4",0.74
"HMGA2",0.62
"ALX1",0.36
"CDK2AP1",0.74
"IFT88",0.65
"PABPN1",0.71
"DPF3",0.76
"GPR68",0.74
"TCL1A",0.44
"AP3B2",0.52
"PWAR5",0.36
"ANP32A",0.72
"ST8SIA2",0.53
"NPRL3",0.6
"GAN",0.49
"SLC7A5",0.83
"TAF15",0.6
"RND2",0.53
"COIL",0.68
"AKAP1",0.72
"SLC14A2",0.4
"MADCAM1",0.42
"SF3A2",0.5
"ELL",0.57
"ZNF239",0.45
"SYMPK",0.73
"MIA",0.36
"CLPP",0.66
"DPF1",0.53
"MKKS",0.8
"GDF5",0.45
"NCOA3",0.78
"NRIP1",0.76
"CHAF1B",0.87
"C21orf33",0.64
"DGCR6",0.62
"DVL1P1",0.1
"LZTR1",0.43
"CLTCL1",0.41
"DGCR14",0.75
"SYN3",0.46
"GTPBP6",0.44
"PUDP",0.82
"AKAP17A",0.63
"PNPLA4",0.67
"ZRSR2",0.67
"USP11",0.64
"USP9X",0.66
"RBM10",0.64
"KDM5C",0.64
"SMC1A",0.75
"NAA10",0.78
"F8A1",0.71
"UBL4A",0.62
"TMEM187",0.6
"LAGE3",0.64
"SLC10A3",0.6
"TKTL1",0.54
"KDM5D",0.49
"USP9Y",0.46
"EPX",0.44
"ARID1A",0.58
"HIST3H3",0.3
"DYSF",0.56
"COLQ",0.41
"SERF1A",0.7
"HIST1H4I",0.42
"TRRAP",0.67
"PICALM",0.79
"KLRC4",0.34
"SNN",0.64
"ACOX2",0.75
"ACOX3",0.62
"AXIN1",0.43
"AXIN2",0.72
"BAP1",0.68
"BRAP",0.67
"CDC7",0.88
"CDC45",0.86
"EOMES",0.57
"FZD1",0.76
"FZD4",0.7
"FZD6",0.62
"FZD7",0.74
"FZD8",0.68
"FZD9",0.41
"GFI1B",0.54
"HIST1H2AI",0.39
"HIST1H2AK",0.54
"HIST1H2AJ",0.56
"HIST1H2AL",0.35
"HIST1H2APS4",0.15
"HIST1H2AC",0.65
"HIST1H2AB",0.28
"HIST1H2AM",0.52
"HIST2H2AA3",0.56
"HIST2H2AC",0.3
"HIST1H2BG",0.39
"HIST1H2BL",0.35
"HIST1H2BN",0.31
"HIST1H2BM",0.38
"HIST1H2BF",0.66
"HIST1H2BE",0.64
"HIST1H2BH",0.53
"HIST1H2BI",0.47
"HIST1H2BC",0.63
"HIST1H2BO",0.33
"HIST2H2BE",0.64
"HIST1H3A",0.29
"HIST1H3D",0.48
"HIST1H3C",0.33
"HIST1H3E",0.62
"HIST1H3I",0.24
"HIST1H3G",0.43
"HIST1H3J",0.2
"HIST1H3H",0.46
"HIST1H3B",0.31
"HIST1H4A",0.27
"HIST1H4D",0.37
"HIST1H4F",0.33
"HIST1H4K",0.42
"HIST1H4J",0.53
"HIST1H4C",0.84
"HIST1H4H",0.69
"HIST1H4B",0.38
"HIST1H4E",0.42
"HIST1H4L",0.24
"HIST1H4G",0.23
"HIST2H4A",0.35
"HYAL3",0.34
"MAD1L1",0.63
"NME5",0.61
"OR1A1",0.2
"OR1D5",0.21
"OR1E1",0.2
"OR1E2",0.26
"OR1E3",0.1
"OR1G1",0.43
"OR1P1",0.1
"OR3A3",0.54
"PIP5K1A",0.65
"PIP5K1B",0.57
"PIP4K2B",0.71
"PLA2G6",0.47
"PLA2G10",0.39
"SLC25A11",0.7
"SOX14",0.28
"SPARCL1",0.69
"SPOP",0.71
"SRPX",0.76
"TAGLN2",0.72
"ULK1",0.55
"UXT",0.68
"EEA1",0.89
"BCAR3",0.8
"ANXA9",0.55
"STX7",0.8
"CMAHP",0.52
"BFSP2",0.29
"SNHG3",0.57
"BBOX1",0.38
"LTBP4",0.7
"ZNF282",0.71
"STK24",0.81
"NR0B2",0.33
"UTF1",0.26
"RECK",0.54
"SOAT2",0.34
"SDPR",0.68
"RASAL1",0.55
"RAD54L",0.81
"NSMAF",0.71
"NCK2",0.61
"GNPAT",0.72
"DYRK3",0.52
"DYRK2",0.63
"DUSP11",0.56
"DOC2B",0.32
"DOC2A",0.35
"DHX16",0.57
"CUL4B",0.81
"CUL4A",0.85
"CUL3",0.79
"CUL2",0.67
"CUL1",0.67
"ATRN",0.5
"FOXN1",0.34
"TTF2",0.74
"TPST2",0.66
"TPST1",0.64
"KLF11",0.54
"TEAD2",0.73
"SUPT3H",0.45
"SMARCA5",0.72
"FKBP6",0.39
"SORBS2",0.74
"IRS4",0.29
"OGT",0.65
"CDC42BPA",0.72
"GPR65",0.47
"HIRIP3",0.54
"RAE1",0.79
"OFD1",0.76
"SEMA7A",0.45
"CILP",0.58
"GALR3",0.34
"GEMIN2",0.89
"RPL23AP3",0.2
"RGS5",0.76
"MAP4K3",0.56
"PRSS12",0.49
"PPM1D",0.69
"PPFIBP2",0.58
"PPFIBP1",0.62
"PPFIA4",0.57
"RANBP3",0.57
"PPFIA2",0.5
"PPFIA1",0.71
"SLC43A1",0.5
"PKP4",0.78
"PIK3R3",0.7
"PEX3",0.65
"PARG",0.59
"CNTNAP1",0.51
"ENC1",0.72
"NIPSNAP1",0.76
"NDST2",0.55
"MMP23B",0.55
"MMP23A",0.18
"MBL1P",0.34
"LIPF",0.38
"KCNAB2",0.63
"ITGA10",0.49
"ITGA8",0.48
"IKBKG",0.65
"IKBKAP",0.62
"IFITM1",0.86
"HAT1",0.86
"GCM1",0.39
"GAS7",0.54
"DGKZ",0.63
"DGKE",0.46
"DGKD",0.64
"DDO",0.42
"CYP4F2",0.54
"CST7",0.52
"YBX3",0.82
"CPZ",0.56
"COPS3",0.86
"CHST1",0.49
"CBX4",0.89
"CAMK1",0.52
"BCAS1",0.56
"BARX2",0.49
"API5",0.88
"AGPS",0.85
"PPFIA3",0.49
"APOL1",0.39
"LMO4",0.75
"PIR",0.73
"CGGBP1",0.85
"AP3B1",0.7
"FCN3",0.28
"BLZF1",0.69
"LGR5",0.45
"MAPKAPK5",0.65
"INE2",0.28
"INE1",0.33
"BHLHE40",0.83
"PIAS1",0.58
"CDC14B",0.81
"CDC14A",0.58
"TCAP",0.39
"CDK10",0.53
"PRPF18",0.68
"DEGS1",0.76
"DENR",0.79
"THOC5",0.55
"KMO",0.52
"YARS",0.86
"PDXK",0.76
"MADD",0.72
"RRP1",0.69
"MKNK1",0.84
"KHSRP",0.81
"PDLIM4",0.76
"CASK",0.76
"AKR7A2",0.75
"PRKRA",0.83
"STK16",0.6
"TMEFF1",0.56
"SCARF1",0.5
"LY6D",0.57
"OR7E4P",0.11
"OR7E87P",0.12
"OR7E2P",0.21
"OR6A2",0.21
"OR5G1P",0.42
"OR5D3P",0.11
"OR4A1P",0.46
"TNFSF11",0.55
"RGS20",0.57
"NOP14",0.69
"FAM193A",0.59
"SLC25A12",0.67
"PLA2G4C",0.58
"RUVBL1",0.84
"RDH16",0.43
"KLF7",0.74
"PLPP1",0.75
"PLPP2",0.63
"PLPP3",0.73
"STC2",0.7
"USO1",0.76
"CADPS",0.64
"NPFF",0.49
"CDK13",0.76
"PDE8B",0.67
"ASMTL",0.68
"PSMG1",0.85
"RFXANK",0.61
"TP63",0.97
"JRK",0.53
"HSD17B6",0.66
"SKAP1",0.41
"DNAH17",0.34
"UNC5C",0.66
"RTCA",0.64
"RNASET2",0.61
"SSNA1",0.7
"EIF4EBP3",0.38
"OASL",0.54
"AOC3",0.7
"PCDHGB4",0.39
"DCHS1",0.67
"PTCH2",0.39
"AKR1C3",0.63
"KCNK5",0.71
"CHRD",0.52
"ABCB11",0.35
"NCOA1",0.81
"LAMTOR3",0.65
"NUMB",0.67
"SOCS1",0.61
"DDX3Y",0.63
"PDE5A",0.73
"DYNLL1",0.83
"TNKS",0.64
"ALDH4A1",0.74
"IRS2",0.71
"EIF3A",0.71
"EIF3B",0.86
"EIF3C",0.65
"EIF3D",0.94
"EIF3F",0.78
"EIF3G",0.63
"EIF3H",0.81
"EIF3I",0.72
"EIF3J",0.69
"SLC4A4",0.54
"EIF4G3",0.7
"VAMP8",0.75
"VAMP4",0.62
"STX16",0.71
"STX11",0.48
"STX10",0.53
"BECN1",0.74
"JMJD7-PLA2G4B",0.27
"PEA15",0.76
"SRSF9",0.89
"MARCO",0.37
"KRT41P",0.11
"KRT38",0.43
"KRT37",0.3
"KRT36",0.4
"JRKL",0.56
"HYAL2",0.64
"GALNT4",0.5
"DGAT1",0.53
"CDC23",0.7
"S1PR4",0.32
"DNAH11",0.47
"B4GALT4",0.72
"B4GALT3",0.61
"B4GALT2",0.55
"B3GALT4",0.49
"B3GALNT1",0.69
"B3GALT2",0.32
"B3GALT1",0.54
"SERPINB7",0.52
"TNK1",0.63
"PAGE1",0.31
"ABCC3",0.73
"NOL4",0.51
"TRADD",0.63
"TNFRSF25",0.62
"MBTPS1",0.67
"EDF1",0.68
"CTSF",0.63
"SNX4",0.74
"SNX3",0.86
"URI1",0.68
"EED",0.72
"CTNNAL1",0.84
"ADAM19",0.53
"GBF1",0.7
"RNMT",0.57
"RNGTT",0.64
"GPAA1",0.74
"MYH13",0.22
"MYOM1",0.49
"RIPK1",0.77
"CRADD",0.63
"HRK",0.46
"TNFSF14",0.3
"TNFSF13",0.65
"TNFSF12",0.51
"TNFSF10",0.78
"TNFSF9",0.73
"ADAM23",0.63
"ADAM21",0.41
"ADAM20",0.4
"ADAM18",0.43
"ADAM15",0.7
"ADAM9",0.72
"ADAM6",0.39
"ADAM7",0.49
"ADAM1A",0.21
"CDS2",0.72
"PABPC4",0.66
"CD164",0.72
"TNFRSF14",0.56
"RAB11A",0.78
"RIPK2",0.61
"TNFRSF6B",0.46
"FADD",0.71
"SNAP23",0.83
"NAPG",0.69
"NAPA",0.72
"MTMR1",0.68
"MPDZ",0.71
"SIGLEC5",0.29
"RIOK3",0.81
"PSPHP1",0.36
"TNFRSF18",0.64
"MATN4",0.21
"RGS11",0.53
"RGS9",0.39
"DLK1",0.38
"FBP2",0.53
"FPGT",0.6
"TNFRSF11A",0.52
"TNFRSF10D",0.82
"TNFRSF10C",0.55
"TNFRSF10B",0.75
"SCEL",0.69
"TNFRSF10A",0.52
"DYRK4",0.62
"PEX11B",0.56
"PEX11A",0.66
"SUCLG2",0.77
"SUCLG1",0.68
"SUCLA2",0.72
"CREG1",0.67
"TRIM24",0.64
"IL18RAP",0.33
"IL1RL2",0.42
"IL18R1",0.47
"GALR2",0.26
"CCNK",0.48
"DPM1",0.86
"CDKL1",0.4
"BANF1",0.78
"DCAF5",0.72
"FGF18",0.78
"DPM2",0.57
"SAP30",0.74
"HESX1",0.51
"INPP4B",0.68
"FGF17",0.25
"FGF16",0.26
"CES2",0.67
"LIN7A",0.61
"IQGAP1",0.83
"NRP2",0.71
"NRP1",0.69
"SYNGAP1",0.32
"CD84",0.61
"GMPS",0.84
"TMEM11",0.72
"SOCS2",0.73
"GGH",0.81
"CFLAR",0.85
"WISP3",0.4
"WISP2",0.49
"WISP1",0.51
"HDAC3",0.59
"PROM1",0.48
"HCAR3",0.59
"KSR1",0.7
"ALKBH1",0.61
"DLEU2",0.68
"TSC22D1",0.78
"KAT2B",0.76
"CDK5R1",0.53
"AKAP4",0.25
"ASAP2",0.77
"ALDH1A2",0.56
"NR1I2",0.34
"FCGBP",0.56
"PROZ",0.37
"STK19",0.64
"LDB1",0.68
"APLN",0.52
"PER3",0.59
"PER2",0.59
"SYNJ1",0.71
"ST3GAL5",0.68
"IER3",0.79
"SYNJ2",0.84
"CDC123",0.84
"ARHGEF7",0.78
"VNN2",0.32
"VNN1",0.41
"SPHK1",0.75
"SQSTM1",0.76
"SGPL1",0.82
"FUBP1",0.78
"CDC16",0.77
"ZPR1",0.8
"NAE1",0.82
"SLC5A6",0.71
"DDX18",0.81
"TAX1BP1",0.74
"MCM3AP",0.65
"EIF2B4",0.66
"EIF2B3",0.78
"EIF2B2",0.72
"EIF2B5",0.61
"EIF2S2",0.82
"CPNE3",0.73
"BUD31",0.7
"MTMR3",0.7
"MTMR2",0.76
"PRPF4B",0.79
"CCNA1",0.63
"CPNE1",0.65
"AP1S2",0.84
"AP1G2",0.32
"AP1M1",0.84
"GYG2",0.68
"ENDOU",0.29
"SGCE",0.77
"CACNA1I",0.45
"CACNA1H",0.53
"CACNA1G",0.53
"TIMELESS",0.76
"BCL10",0.83
"HERC3",0.38
"HERC2",0.75
"HERC1",0.47
"SNURF",0.54
"BSN",0.39
"FOXH1",0.56
"PHOX2B",0.3
"MBD4",0.7
"MBD2",0.67
"FAM127A",0.55
"RAB29",0.73
"SKAP2",0.75
"WASF1",0.62
"BAIAP3",0.35
"FUBP3",0.71
"TOP3B",0.49
"CDK5R2",0.51
"KYNU",0.81
"AP3D1",0.63
"SNORD73A",0.18
"BTRC",0.91
"HIST1H3F",0.28
"HIST1H2AG",0.62
"HIST1H2BJ",0.43
"H1FX",0.69
"MGAM",0.39
"CHRNA6",0.36
"P4HA2",0.79
"USP13",0.8
"WASL",0.71
"PLOD3",0.82
"RPS6KA4",0.64
"STBD1",0.62
"HSPB3",0.45
"TRPA1",0.4
"SELENBP1",0.85
"ATP6V0E1",0.85
"PGLYRP1",0.26
"LIMD1",0.79
"TNFSF18",0.25
"NOL3",0.74
"KALRN",0.67
"CDKL2",0.6
"HAP1",0.41
"F2RL3",0.39
"TAF1C",0.66
"TAF1B",0.73
"TAF1A",0.72
"SLC25A14",0.52
"MPZL1",0.81
"MAP3K14",0.56
"SOCS3",0.82
"CLIC3",0.58
"CH25H",0.46
"BRSK2",0.59
"RNF8",0.65
"HIP1R",0.71
"NAT8",0.39
"RHBDL1",0.28
"BAZ1B",0.67
"TM4SF5",0.38
"PKD2L1",0.34
"CCRL2",0.44
"SEMA5A",0.77
"TAAR5",0.27
"UBA3",0.59
"UBE2M",0.64
"SPAG9",0.89
"BTAF1",0.55
"RPL14",0.97
"DOK2",0.41
"SH2D2A",0.53
"ARTN",0.59
"AIP",0.76
"PSTPIP2",0.43
"PSTPIP1",0.42
"GPRC5A",0.83
"MAP7",0.62
"NFS1",0.56
"PRC1",0.92
"SLC7A7",0.79
"SLC7A6",0.72
"SLC13A2",0.42
"PAPSS2",0.81
"PAPSS1",0.7
"PIAS2",0.84
"MAP3K6",0.53
"SYT7",0.66
"ANGPTL1",0.65
"CLDN12",0.72
"ASH2L",0.64
"CLDN10",0.64
"CLDN8",0.49
"CLDN6",0.48
"CLDN2",0.61
"CLDN1",0.78
"DIRAS3",0.58
"LDB2",0.66
"CLDN9",0.52
"PRY",0.37
"XKRY",0.29
"BPY2",0.33
"VCY",0.31
"CDY1",0.18
"EIF1AY",0.43
"TMSB4Y",0.36
"PKMYT1",0.84
"PIGQ",0.6
"SART1",0.67
"DNAJA3",0.62
"UNC119",0.45
"TBX19",0.49
"TBX18",0.57
"USP14",0.87
"USP6",0.69
"USP2",0.72
"USP10",0.76
"USP8",0.84
"FCGR2C",0.49
"RGN",0.48
"MTMR6",0.7
"MTMR7",0.65
"MTMR4",0.67
"NMI",0.77
"MTA1",0.68
"LATS1",0.36
"ATP6V0D1",0.76
"SEC22C",0.67
"INA",0.53
"KRT75",0.4
"SLC16A6",0.57
"SLC16A5",0.53
"SLC16A4",0.76
"SLC16A3",0.73
"PDLIM1",0.73
"RQCD1",0.78
"SMC3",0.83
"P2RX6",0.46
"PRPF4",0.84
"PRPF3",0.73
"FAM50A",0.65
"AIFM1",0.75
"KCNQ4",0.52
"CCNB2",0.87
"CCNE2",0.82
"RABEP1",0.8
"RRP9",0.69
"ARHGEF1",0.54
"CBFA2T2",0.66
"ATG12",0.62
"PDCD5",0.76
"TMEM257",0.25
"SYNGR3",0.72
"SYNGR2",0.74
"SYNGR1",0.64
"HGS",0.71
"NEMF",0.57
"NEURL1",0.5
"DYRK1B",0.36
"CTDP1",0.33
"SLC6A5",0.42
"SLC28A2",0.51
"SLC28A1",0.51
"EXO1",0.88
"FIBP",0.71
"PCSK7",0.8
"DGKI",0.41
"EBAG9",0.56
"COX7A2L",0.69
"TMSB10",0.85
"SCAF11",0.73
"LPAR2",0.48
"MYOM2",0.53
"IL1RL1",0.71
"MAP3K13",0.55
"HTR3B",0.34
"AP4M1",0.48
"OSMR",0.75
"ARHGEF2",0.75
"RASSF9",0.5
"ZW10",0.7
"BUB3",0.82
"REPS2",0.67
"SLC24A1",0.49
"DDX21",0.64
"ZBED1",0.54
"DEDD",0.69
"SLC16A7",0.7
"KCNAB3",0.31
"SLC33A1",0.66
"HACD1",0.7
"DCLK1",0.82
"ZMYM4",0.71
"ZMYM3",0.68
"ZMYM6",0.73
"ZMYM5",0.72
"LRRFIP1",0.72
"LRRFIP2",0.76
"BMP15",0.24
"LGI1",0.49
"AURKB",0.9
"XPR1",0.79
"FCMR",0.66
"LARGE",0.71
"VAPB",0.64
"VAPA",0.81
"MTA2",0.54
"TIAF1",0.34
"NOLC1",0.87
"MAGI1",0.82
"LRAT",0.42
"DLGAP2",0.53
"DLGAP1",0.44
"RAB11B",0.53
"DLG5",0.65
"PTTG1",0.9
"IL32",0.63
"CCPG1",0.78
"TBRG4",0.57
"PNMA1",0.66
"NOG",0.4
"MSC",0.52
"CRLF1",0.57
"GCNT3",0.37
"UBE2L6",0.68
"GCM2",0.32
"GPR50",0.34
"DHRS3",0.64
"RPS6KA5",0.64
"NUMBL",0.62
"CACNA2D2",0.38
"AIMP1",0.85
"BZRAP1",0.44
"MFHAS1",0.79
"PDLIM7",0.67
"MAPKAPK2",0.57
"STK17B",0.79
"STK17A",0.7
"CYTH3",0.71
"CYTH2",0.79
"CYTH1",0.64
"ITGB1BP1",0.77
"PIWIL1",0.28
"BCL7C",0.42
"BCL7B",0.63
"COPB2",0.81
"WDR46",0.44
"ZBTB22",0.35
"MED14",0.63
"GPR37L1",0.4
"NPIPA1",0.61
"TAAR2",0.26
"TAAR3",0.25
"ADGRG1",0.73
"GPR55",0.45
"GPR53P",0.1
"GPR52",0.47
"S1PR2",0.64
"SRSF11",0.83
"ATP6V1F",0.5
"SNORD31",0.16
"SNORD30",0.18
"SNORD28",0.13
"SNORD27",0.12
"SNORD26",0.13
"SNORD25",0.17
"SNORD22",0.19
"SOCS6",0.84
"CD83",0.68
"ZNF235",0.46
"ASIC3",0.38
"KCNB2",0.46
"MMP20",0.29
"KLF4",0.82
"NREP",0.88
"PTER",0.76
"COPS2",0.81
"TRIP13",0.92
"TRIP12",0.68
"TRIP11",0.74
"TRIP10",0.73
"HMGN3",0.84
"TRIP4",0.7
"ZNHIT3",0.61
"GTF3C5",0.78
"GTF3C4",0.47
"GTF3C3",0.72
"B4GALT6",0.78
"CD163",0.68
"TGM5",0.42
"B4GALT5",0.62
"CNOT8",0.61
"TCEAL1",0.67
"GLP2R",0.28
"VAMP3",0.68
"SNAP29",0.79
"EFTUD2",0.86
"TAOK2",0.62
"NDST3",0.35
"RPL23",0.81
"CER1",0.33
"SLC9A3R2",0.41
"TXNL1",0.83
"SLIT2",0.8
"UBE4A",0.67
"LHX2",0.51
"SLC22A6",0.46
"ITGBL1",0.71
"PPIG",0.62
"LONP1",0.67
"CPNE6",0.55
"RAB33A",0.43
"RAB28",0.84
"KL",0.41
"RAB9BP1",0.22
"RAB9A",0.84
"SLC9A3R1",0.75
"NRXN3",0.82
"ADIPOQ",0.4
"KIF3B",0.73
"ZFYVE9",0.56
"PLAA",0.67
"PPT2",0.5
"TM9SF2",0.72
"SLC22A8",0.54
"COX5A",0.88
"NRXN1",0.52
"NRXN2",0.5
"GRHPR",0.76
"OTOF",0.31
"COG1",0.61
"TSIX",0.18
"COX6CP1",0.34
"COX5AP1",0.2
"COX7CP1",0.38
"LIPG",0.53
"SLC22A14",0.47
"SLC22A13",0.31
"CIAO1",0.64
"TGFBRAP1",0.5
"HS6ST1",0.81
"NMT2",0.57
"CD101",0.22
"STOML1",0.58
"RECQL5",0.59
"RECQL4",0.76
"GRAP2",0.36
"SEP15",0.63
"LPXN",0.57
"ZRANB2",0.83
"TMPRSS11D",0.54
"PEX16",0.58
"SNRNP40",0.73
"ARHGAP29",0.79
"MED21",0.68
"FAM189A2",0.68
"TJP2",0.77
"FADS2",0.62
"DDX23",0.72
"CRIPT",0.82
"CYP7B1",0.43
"HAND1",0.38
"ZNF264",0.71
"NTN1",0.53
"KCNK6",0.78
"CDYL",0.77
"CDY2A",0.22
"ECEL1",0.38
"ABCG2",0.68
"MYLKP1",0.14
"CHST2",0.6
"NCR2",0.41
"NCR1",0.47
"MED23",0.63
"MED17",0.69
"MED26",0.58
"MED27",0.65
"MED7",0.59
"QKI",0.85
"ITM2B",0.76
"GSTO1",0.71
"AIM2",0.52
"MAP4K4",0.77
"LY86",0.52
"EIF2AK3",0.56
"ITM2A",0.67
"GGPS1",0.72
"HOMER3",0.71
"HOMER2",0.72
"HOMER1",0.65
"FHL5",0.43
"ARHGEF6",0.59
"RASAL2",0.69
"PICK1",0.44
"HAND2",0.26
"AKAP7",0.46
"IL27RA",0.54
"SH3BP5",0.73
"PCYT1B",0.53
"CHST3",0.61
"EIF4E2",0.84
"AKAP6",0.54
"THEMIS2",0.68
"ATG5",0.82
"ROCK2",0.7
"NAPSA",0.47
"MED20",0.67
"CABP1",0.36
"MAPK8IP1",0.62
"ONECUT2",0.49
"SLC25A27",0.56
"STX8",0.67
"CHST10",0.46
"PIGL",0.66
"PIGB",0.77
"PGS1",0.72
"PSMF1",0.77
"KIF23",0.91
"AKAP5",0.63
"TBX4",0.35
"SLC4A7",0.68
"SLC4A8",0.54
"MYOT",0.5
"MAGED1",0.78
"RPH3AL",0.42
"XAGE2",0.31
"PAGE4",0.43
"ADAMTS4",0.35
"ADAMTS3",0.51
"ADAMTS2",0.48
"ADAMTS1",0.8
"PMPCB",0.65
"FXR2",0.67
"GAL3ST1",0.49
"STXBP5L",0.64
"LITAF",0.71
"SPTLC2",0.86
"GDF15",0.78
"TBPL1",0.7
"NPEPPS",0.7
"EEF1E1",0.79
"SCAMP1",0.71
"TECR",0.65
"VPS4B",0.67
"MPDU1",0.6
"GOSR1",0.58
"TMEM59",0.8
"BAG5",0.81
"BAG4",0.69
"BAG3",0.76
"BAG2",0.78
"POLR1C",0.7
"ZNF254",0.44
"GMFG",0.6
"PTGES",0.71
"TP53I11",0.56
"EI24",0.7
"TP53I3",0.68
"CIR1",0.35
"NRG2",0.48
"IGDCC3",0.55
"RAB3D",0.47
"APBA3",0.5
"CXCL14",0.7
"ATP6V1G1",0.87
"ATP5J2",0.75
"SPAG7",0.78
"MRPL33",0.65
"SEC22B",0.69
"H2AFY",0.79
"C14orf2",0.84
"CHD1L",0.63
"VPS26A",0.56
"CCL4L2",0.25
"MINPP1",0.55
"H6PD",0.73
"BCAR1",0.67
"GTPBP1",0.76
"GABBR2",0.56
"GTF2IRD1",0.64
"GOSR2",0.8
"NR1D1",0.74
"GDF3",0.46
"CLOCK",0.57
"SPAG6",0.56
"BRE",0.72
"CDC42BPB",0.52
"SOX13",0.77
"PREPL",0.68
"APOBEC3B",0.75
"ENTPD4",0.74
"RBM39",0.76
"KIF20B",0.91
"CREB5",0.67
"MAD2L1BP",0.66
"PRDX6",0.8
"WTAP",0.77
"AKAP12",0.81
"IER2",0.78
"CYTIP",0.55
"OR1R1P",0.15
"SMAD5-AS1",0.32
"PITPNM1",0.48
"PDIA4",0.76
"NFE2L3",0.76
"RNF14",0.76
"VPS9D1",0.59
"CARTPT",0.29
"RAB36",0.72
"RIN1",0.54
"NCOR1",0.72
"NCOR2",0.73
"GDA",0.72
"RNF7",0.74
"MTRF1",0.56
"TRAF4",0.67
"ABCG1",0.81
"CELSR1",0.43
"KLK4",0.44
"TCL1B",0.48
"AATK",0.43
"GUCA1C",0.55
"SNCAIP",0.62
"RGS6",0.82
"CLCA3P",0.29
"GNA14",0.77
"NUP155",0.82
"SEC24C",0.76
"MTL5",0.62
"CLCA2",0.55
"ISG15",0.69
"FEZ2",0.73
"FEZ1",0.72
"ARHGEF10",0.7
"ZNF592",0.61
"IKBKE",0.56
"MORF4L2",0.71
"SH3PXD2A",0.77
"MICAL2",0.82
"CTR9",0.6
"PPM1F",0.75
"GCC2",0.6
"RALGPS1",0.69
"MTFR1",0.67
"PLCH2",0.31
"TTC37",0.67
"HS2ST1",0.77
"TTLL4",0.53
"SOCS5",0.8
"MDC1",0.7
"IQCB1",0.58
"ZNF516",0.54
"PDE4DIP",0.76
"CEP135",0.5
"LPIN2",0.61
"KIAA0430",0.57
"DZIP3",0.63
"SAFB2",0.56
"ZNF432",0.44
"EIF5B",0.78
"IPO13",0.72
"WSCD2",0.54
"SDC3",0.57
"SLC25A44",0.59
"KIAA0040",0.59
"TTI1",0.63
"PPIP5K1",0.52
"PHF14",0.78
"FAM53B",0.77
"DEPDC5",0.44
"KDM4A",0.62
"N4BP1",0.51
"LRRC14",0.51
"CLINT1",0.78
"VGLL4",0.72
"GREB1",0.56
"NUP93",0.79
"BZW1",0.74
"UBE3C",0.7
"KIAA0391",0.65
"RAPGEF2",0.67
"EMC2",0.71
"EDEM1",0.62
"CROCC",0.37
"TRAM2",0.68
"PUM1",0.71
"RIMS2",0.63
"ESPL1",0.89
"PPP6R2",0.73
"CEP57",0.77
"KIAA0100",0.76
